player_id,name,birth_year,nationality,primary_position
4672,Nigel de Jong,1984.0,Netherlands,Midfield
4673,Wesley Sneijder,1984.0,Netherlands,Midfield
4687,Aaron Hunt,1986.0,Germany,Midfield
4691,Peter Niemeyer,1983.0,Germany,Midfield
4740,Daniel Van Buyten,1978.0,Belgium,Defender
4746,David Yelldell,1981.0,United States,Goalkeeper
4793,Steve von Bergen,1983.0,Switzerland,Defender
4796,Kader Mangane,1983.0,Senegal,Defender
4811,Hilton,1977.0,Brazil,Defender
5017,Niklas Moisander,1985.0,Finland,Defender
5023,Gianluigi Buffon,1978.0,Italy,Goalkeeper
5072,Thomas Kessler,1986.0,Germany,Goalkeeper
5169,Hélder Postiga,1982.0,Portugal,Attack
5278,Alexander Manninger,1977.0,Austria,Goalkeeper
5281,Flavio Roma,1974.0,Italy,Goalkeeper
5283,Éric Abidal,1979.0,France,Defender
5285,Patrice Evra,1981.0,France,Defender
5286,Gaël Givet,1981.0,France,Defender
5293,Sébastien Squillaci,1980.0,France,Defender
5299,Ludovic Giuly,1976.0,France,Attack
5300,Jérôme Rothen,1978.0,France,Midfield
5303,Souleymane Camara,1982.0,Senegal,Attack
5308,Cédric Carrasso,1981.0,France,Goalkeeper
5309,Damien Grégorini,1979.0,France,Goalkeeper
5338,Rémy Vercoutre,1980.0,France,Goalkeeper
5339,Jérémie Bréchet,1979.0,France,Defender
5345,Youssouf Hadji,1980.0,Morocco,Attack
5348,Florent Balmont,1980.0,France,Midfield
5352,Mahamadou Diarra,1981.0,Mali,Midfield
5357,Sidney Govou,1979.0,France,Attack
5376,Camel Meriem,1979.0,France,Midfield
5399,Kamel Chafni,1982.0,Morocco,Midfield
5404,Jérémy Mathieu,1983.0,France,Defender
5406,Benoît Pedretti,1980.0,France,Midfield
5422,Philippe Mexès,1982.0,France,Defender
5430,Lionel Mathis,1981.0,France,Midfield
5431,Pantxi Sirieix,1980.0,France,Midfield
5444,Ronan Le Crom,1974.0,France,Goalkeeper
5451,Alaeddine Yahia,1981.0,Tunisia,Defender
5457,Gaël Danic,1981.0,France,Attack
5461,Florent Malouda,1980.0,France,Attack
5474,Zoumana Camara,1979.0,France,Defender
5477,Rod Fanni,1981.0,France,Defender
5486,Seydou Keita,1980.0,Mali,Midfield
5495,John Utaka,1982.0,Nigeria,Attack
5501,Mauro Cetto,1982.0,Argentina,Defender
5507,Mario Yepes,1976.0,Colombia,Defender
5513,Jérémy Toulalan,1983.0,France,Midfield
5521,Grégory Pujol,1980.0,France,Attack
5539,Romain Pitau,1977.0,France,Midfield
