rank,player_id,name,clubs,leagues,nationality,primary_position,total_minutes_top5,total_appearances,peak_market_value_eur,peak_value_pct_in_league,obscurity_score
191,129868,Cristian Battocchio,Udinese Calcio; Stade Brestois 29,Serie A; Ligue 1,Italy,Midfield,1826,40,2200000.0,0.4037982565379825,0.749651259327908
192,78950,Sonny Kittel,Eintracht Frankfurt; FC Ingolstadt 04,Bundesliga,Germany,Attack,1759,52,3000000.0,0.413113435237329,0.7488696389704828
193,165331,Ondrej Petrak,1.FC Nuremberg,Bundesliga,Czech Republic,Midfield,2397,33,2000000.0,0.2984714400643604,0.7480511016732461
194,102470,Antonino Ragusa,Genoa CFC; US Sassuolo,Serie A,Italy,Attack,2256,56,2000000.0,0.3228819212808539,0.7479582641657746
195,55385,Granddi N'Goyi,ESTAC Troyes; Palermo FC,Ligue 1; Serie A,DR Congo,Midfield,2606,36,1250000.0,0.2484433374844333,0.7478713545135973
196,81801,Chung-yong Lee,Crystal Palace,Premier League,"Korea, South",Attack,1073,38,7500000.0,0.4872742200328407,0.7476419597510215
197,79503,Lasse Sobiech,SpVgg Greuther Fürth; Hamburger SV; 1.FC Köln,Bundesliga,Germany,Defender,2401,35,2000000.0,0.2984714400643604,0.747082109425184
198,55001,Matteo Rubin,Siena FC; Chievo Verona,Serie A,Italy,Defender,2641,34,1500000.0,0.2448298865910607,0.7467711032160975
199,63824,Libor Kozak,Società Sportiva Lazio S.p.A.; Aston Villa,Serie A; Premier League,Czech Republic,Attack,1758,37,6000000.0,0.4195402298850574,0.7461407377706495
200,574495,Kristoffer Askildsen,UC Sampdoria,Serie A,Norway,Midfield,1635,50,3000000.0,0.428285523682455,0.7461285559882298
201,117549,Rodri Ríos,Real Zaragoza; UD Almería,La Liga,Spain,Attack,2532,39,2000000.0,0.2773995915588836,0.7459901267011784
202,163223,Mirko Gori,Frosinone Calcio,Serie A,Italy,Midfield,2489,38,1800000.0,0.2865243495663775,0.7457882128137105
203,59641,Denis Odoi,Fulham FC,Premier League,Ghana,Defender,2864,34,2500000.0,0.1810344827586207,0.745723068698209
204,48805,Mads Albaek,Stade Reims,Ligue 1,Denmark,Midfield,2265,39,1750000.0,0.324719800747198,0.7455858360605095
205,315283,Kaj Sierhuis,Stade Reims,Ligue 1,Netherlands,Attack,940,41,3000000.0,0.4993773349937733,0.7454663712628032
206,43847,Ronny,Hertha BSC,Bundesliga,Brazil,Midfield,2126,47,2500000.0,0.3580048270313757,0.7454161911354749
207,163582,Salvatore Molina,Atalanta BC,Serie A,Italy,Midfield,2726,38,1400000.0,0.2224816544362908,0.7453483200686762
208,140559,Raffaele Maiello,FC Empoli; Frosinone Calcio,Serie A,Italy,Midfield,2570,42,1600000.0,0.2651767845230153,0.7453185844826784
209,16498,Ramazan Özcan,FC Ingolstadt 04; Bayer 04 Leverkusen,Bundesliga,Austria,Goalkeeper,2790,31,1250000.0,0.1995172968624296,0.7449603438168473
210,22598,Gianni Munari,UC Sampdoria; Parma Calcio 1913; Cagliari Calcio,Serie A,Italy,Midfield,2038,50,2500000.0,0.3755837224816544,0.7448631775188628
211,568835,Pablo Martínez,Levante UD,La Liga,Spain,Midfield,1893,32,3000000.0,0.40571817562968,0.7448153307898112
212,14259,Antolín Alcaraz,Wigan Athletic; Everton FC; UD Las Palmas,Premier League; La Liga,Paraguay,Defender,2252,30,4500000.0,0.3321018062397373,0.7440750658723794
213,444211,Will Smallbone,Southampton FC,Premier League,Ireland,Midfield,1380,34,7000000.0,0.4646962233169129,0.7439115782640242
214,55472,Rafael Marques,Hellas Verona,Serie A,Brazil,Defender,2528,35,1800000.0,0.2865243495663775,0.7428812360695245
215,203764,Pierre-Yves Polomat,AS Saint-Étienne,Ligue 1,Martinique,Defender,2505,44,1500000.0,0.2889165628891656,0.7426541216561924
216,57961,Edu Albacar,Elche CF,La Liga,Spain,Defender,3026,36,1000000.0,0.1501021102791014,0.7418094099767284
217,340707,Leonardo Sernicola,US Sassuolo,Serie A,Italy,Defender,2323,33,2000000.0,0.3228819212808539,0.741417566491356
218,170938,Bryan Pelé,FC Lorient; ESTAC Troyes,Ligue 1,France,Midfield,2529,54,1500000.0,0.2889165628891656,0.7412006332840994
219,87479,Alexander Söderlund,AS Saint-Étienne,Ligue 1,Norway,Attack,2105,43,2000000.0,0.3714196762141967,0.740888999102204
220,73522,Matty James,Leicester City,Premier League,England,Midfield,2892,42,2500000.0,0.1810344827586207,0.740878107457899
221,174706,Jonathan Zongo,UD Almería,La Liga,Burkina Faso,Attack,2690,45,1800000.0,0.2426820966643975,0.740577556318964
222,99559,Alberto Perea,Rayo Vallecano,La Liga,Spain,Attack,2944,60,1200000.0,0.1766507828454731,0.7401629806702867
223,96758,Alessandro Crescenzi,AC Ajaccio; Delfino Pescara 1936,Ligue 1; Serie A,Italy,Defender,2213,30,2200000.0,0.3498999332888592,0.7400209635881285
224,3942,Martin Lanig,Eintracht Frankfurt,Bundesliga,Germany,Midfield,1500,37,3500000.0,0.4601769911504424,0.7393882486108253
225,199941,Andrea Beghetto,Genoa CFC; Frosinone Calcio,Serie A,Italy,Defender,2377,30,2000000.0,0.3228819212808539,0.7387528378091854
226,42198,Sone Aluko,Hull City,Premier League,Nigeria,Attack,2179,42,5000000.0,0.3657635467980296,0.7371763661358689
227,431698,Bosko Sutalo,Atalanta BC,Serie A,Croatia,Defender,1419,38,3500000.0,0.4743162108072048,0.7371636000227542
228,426790,Ngonda Muzinga,Dijon FCO,Ligue 1,DR Congo,Defender,2849,36,1000000.0,0.2011207970112079,0.7366489038199775
229,126692,Yassine Jebbour,Stade Rennais FC; AS Nancy-Lorraine; Montpellier HSC; SC Bastia,Ligue 1,Morocco,Defender,2860,42,1000000.0,0.2011207970112079,0.7361644076959464
230,2201,Lukas Kruse,SC Paderborn 07,Bundesliga,Germany,Goalkeeper,3060,34,1000000.0,0.1568785197103781,0.7352719804548884
231,377387,Sergio Córdova,FC Augsburg,Bundesliga,Venezuela,Attack,2534,85,2000000.0,0.2984714400643604,0.7344852102003779
232,142920,Aleksandar Trajkovski,Palermo FC; RCD Mallorca,Serie A; La Liga,North Macedonia,Attack,2405,57,2000000.0,0.3228819212808539,0.7343923726929064
233,66415,Abdou Traoré,FC Girondins Bordeaux,Ligue 1,Mali,Midfield,2776,59,1200000.0,0.2300747198007472,0.733315353277921
234,77001,Rajiv van La Parra,Huddersfield Town,Premier League,Netherlands,Attack,2553,38,4000000.0,0.2976190476190476,0.7332156699889258
